类型,前区,后区

七星彩,"3,8,3,4,7,1",8
七星彩,"4,3,2,3,8,4",8
七星彩,"2,7,1,0,4,5",8
七星彩,"7,5,4,8,8,3",3
七星彩,"5,1,5,8,3,2",6
七星彩,"3,3,0,7,6,7",12
七星彩,"6,3,5,1,4,8",8
七星彩,"6,3,3,4,3,2",9
七星彩,"9,8,1,9,3,2",1
七星彩,"9,6,9,1,7,1",0
七星彩,"8,8,5,3,8,7",0
七星彩,"8,6,6,2,9,4",8
七星彩,"4,3,2,3,2,5",11
七星彩,"8,9,8,5,8,3",2
七星彩,"3,3,0,0,6,4",3
七星彩,"2,2,5,8,2,4",2
七星彩,"1,2,2,5,9,1",6
七星彩,"6,2,5,9,2,4",6
七星彩,"8,1,1,5,4,2",11
七星彩,"9,6,4,3,3,4",2
七星彩,"1,1,6,3,9,5",3
七星彩,"4,2,6,5,3,2",14
七星彩,"8,3,2,2,7,2",1
七星彩,"3,7,3,8,3,4",7
七星彩,"4,6,4,2,2,4",8
七星彩,"9,1,2,7,2,2",6
七星彩,"8,1,3,5,4,3",8
七星彩,"7,5,8,9,4,7",11
七星彩,"5,7,0,5,9,4",1
七星彩,"1,4,9,5,9,1",11
七星彩,"7,9,5,2,4,1",11
七星彩,"9,5,9,1,8,6",1
七星彩,"8,0,1,5,5,7",11
七星彩,"9,0,3,2,1,9",4
七星彩,"6,4,3,4,2,2",7
七星彩,"3,0,2,2,2,2",8
七星彩,"4,0,3,0,3,1",4
七星彩,"5,5,2,8,8,9",2
七星彩,"1,9,6,3,8,4",5
七星彩,"0,7,5,2,9,7",0
七星彩,"4,3,6,2,6,5",5
七星彩,"0,8,8,2,2,8",10
七星彩,"6,2,8,8,3,8",2
七星彩,"2,0,2,3,8,5",8
七星彩,"7,9,6,6,9,4",6
七星彩,"0,1,2,7,0,2",11
七星彩,"2,3,7,1,5,4",9
七星彩,"9,4,1,6,3,5",2
七星彩,"0,9,8,8,9,0",0
七星彩,"4,5,3,9,5,9",7
七星彩,"4,5,7,1,3,9",3
七星彩,"2,1,6,2,3,8",1
七星彩,"5,9,8,4,7,7",8
七星彩,"5,5,9,0,2,1",5
七星彩,"1,8,3,0,4,3",1
七星彩,"4,4,7,8,8,8",4
七星彩,"1,3,3,7,7,8",9
七星彩,"1,3,3,7,8,9",7
七星彩,"1,3,5,5,6,8",8
七星彩,"4,4,5,5,6,8",8
七星彩,"6,6,8,3,8,5",10
七星彩,"4,3,8,3,0,5",8
七星彩,"4,1,3,2,8,2",8
七星彩,"5,3,9,8,5,3",11
七星彩,"6,8,4,3,5,0",10
七星彩,"5,0,2,6,5,5",8
七星彩,"4,5,7,7,4,6",3
七星彩,"2,8,4,2,8,0",12
七星彩,"1,4,2,4,8,1",10
七星彩,"8,7,1,6,5,9",2
